scope,gate_id,gate_name,pass_fail,rejection_code,reason,caveat
pair,G8,schema_validation,PASS,none,both artifacts validate against benchmark-result.schema.json,
pair,G1,track_isolation,PASS,none,track_id=track-ba-r01-01,
pair,G2,eligibility_only,PASS,none,both artifacts are comparison_eligible/success/complete/ok,
pair,G3,equivalence_strict,PASS,none,scenario/contract/tier/protocol/mode/payload/concurrency/windows/jvm_class equivalent,
pair,G4,ab_ba_required,PASS,none,pair_id=entity-read-by-id-fixed_contract_cross_runtime_h1_v2-exeris-community__quarkus-tuned; directional completion evidence present for order=ba,
pair,G5,drift_placeholder,PASS,none,drift snapshot metadata present and within thresholds,
pair,G6,metadata_completeness,PASS,none,required reproducibility metadata complete,
pair,G7,pin_verification,PASS,none,all required pinned versions match actual versions,
pair,G9,quarantine_transparency,PASS,none,machine-readable rejection output enabled,
pair,G10,reporting_guard,PASS,none,report carries required axis labels and no cross-track claims,
